titulo,ubicacion,precio,caracteristicas,area_m2,habitaciones,banos,parqueaderos,url,codigo,pagina,numero_en_pagina
"Apartamento en Arriendo, EL POBLADO, Medellín",EL POBLADO | Suroriente | Medellín,$9.000.000,"179 m²
3 hab.
4 bañ.
2 par.",179,3,4,2,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-los-balsos-no.1-3-habitaciones-4-banos-2-garajes/687-M4698150,687-M4698150,2,20
"Apartamento en Arriendo, Poblado, Medellín",Poblado | Suroriente | Medellín,$13.500.000,"130 m²
3 hab.
4 bañ.
2 par.",130,3,4,2,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-la-linde-3-habitaciones-4-banos-2-garajes/20543-M6065528,20543-M6065528,2,21
"Apartamento en Arriendo, Laureles, Medellín",Laureles | Noroccidente | Medellín,$5.000.000,"110 m²
3 hab.
3 bañ.",110,3,3,,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-lorena-3-habitaciones-3-banos/20662-M6060255,20662-M6060255,2,22
"Apartamento en Arriendo, EL POBLADO, Medellín",EL POBLADO | Suroriente | Medellín,$6.900.000,"168 m²
3 hab.
3 bañ.
2 par.",168,3,3,2,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-san-lucas-3-habitaciones-3-banos-2-garajes/687-M5233761,687-M5233761,2,23
"Casa en Arriendo, Florida Nueva, Medellín",Florida Nueva | Medellín,$6.600.000,"196 m²
5 hab.
5 bañ.",196,5,5,,https://www.metrocuadrado.com/inmueble/arriendo-casa-medellin-florida-nueva-5-habitaciones-5-banos/19795-M5691377,19795-M5691377,2,24
"Apartamento en Arriendo, EL POBLADO, Medellín",EL POBLADO | Suroriente | Medellín,$7.000.000,"105 m²
2 hab.
3 bañ.
2 par.",105,2,3,2,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-los-balsos-no.1-2-habitaciones-3-banos-2-garajes/687-M5565263,687-M5565263,2,25
"Apartamento en Arriendo, Poblado San Lucas, Medellín",Poblado San Lucas | Medellín,$5.500.000,"87 m²
1 hab.
1 bañ.
1 par.",87,1,1,1,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-poblado-san-lucas-1-habitaciones-1-banos-1-garajes/19797-M6068684,19797-M6068684,2,26
"Apartamento en Arriendo, EL POBLADO, Medellín",EL POBLADO | Suroriente | Medellín,$10.500.000,"158 m²
2 hab.
3 bañ.
2 par.",158,2,3,2,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-san-lucas-2-habitaciones-3-banos-2-garajes/687-M5730433,687-M5730433,2,27
"Local Comercial en Arriendo, Laureles, Medellín",Laureles | Medellín,$7.900.000,"120 m²
3 bañ.
1 par.",120,,3,1,https://www.metrocuadrado.com/inmueble/arriendo-local-comercial-medellin-laureles-3-banos-1-garajes/19795-M5744592,19795-M5744592,2,28
"Apartamento en Arriendo, EL POBLADO, Medellín",EL POBLADO | Suroriente | Medellín,$7.700.000,"168 m²
2 hab.
3 bañ.
2 par.",168,2,3,2,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-el-tesoro-2-habitaciones-3-banos-2-garajes/687-M5155155,687-M5155155,2,29
"Casa en Arriendo, EL POBLADO, Medellín",EL POBLADO | Suroriente | Medellín,$14.500.000,"227 m²
4 hab.
4 bañ.
4 par.",227,4,4,4,https://www.metrocuadrado.com/inmueble/arriendo-casa-medellin-los-balsos-no.1-4-habitaciones-4-banos-4-garajes/687-M5565217,687-M5565217,2,30
"Apartamento en Arriendo, EL POBLADO, Medellín",EL POBLADO | Suroriente | Medellín,$12.800.000,"170 m²
3 hab.
4 bañ.
2 par.",170,3,4,2,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-los-balsos-no.1-3-habitaciones-4-banos-2-garajes/687-M5677579,687-M5677579,2,31
"Apartamento en Arriendo, Poblado San Lucas, Medellín",Poblado San Lucas | Medellín,$12.000.000,"80 m²
2 hab.
2 bañ.
1 par.",80,2,2,1,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-poblado-san-lucas-2-habitaciones-2-banos-1-garajes/19797-M6068374,19797-M6068374,2,32
"Apartamento en Arriendo, Poblado, Medellín",Poblado | Suroriente | Medellín,$12.000.000,"130 m²
3 hab.
3 bañ.
2 par.",130,3,3,2,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-los-naranjos-3-habitaciones-3-banos-2-garajes/20543-M6070728,20543-M6070728,2,33
"Apartamento en Arriendo, EL POBLADO, Medellín",EL POBLADO | Otros | Medellín,$5.200.000,"105 m²
1 hab.
2 bañ.
2 par.",105,1,2,2,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-altos-del-poblado-1-habitaciones-2-banos-2-garajes/687-M5962360,687-M5962360,2,34
"Bodega en Arriendo, Guayabal, Medellín",Guayabal | Suroccidente | Medellín,$26.000.000,"745 m²
5 bañ.",745,,5,,https://www.metrocuadrado.com/inmueble/arriendo-bodega-medellin-guayabal-5-banos/20662-M5988162,20662-M5988162,2,35
"Apartamento en Venta y Arriendo, Poblado, Medellín",Poblado | Suroriente | Medellín,$598.000.000,"160 m²
3 hab.
3 bañ.
1 par.",160,3,3,1,https://www.metrocuadrado.com/inmueble/venta-apartamento-medellin-castropol-3-habitaciones-3-banos-1-garajes/687-1820579,687-1820579,2,36
"Apartamento en Arriendo, EL POBLADO, Medellín",EL POBLADO | Suroriente | Medellín,$3.850.000,"87 m²
3 hab.
2 bañ.
1 par.",87,3,2,1,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-simesa-3-habitaciones-2-banos-1-garajes/687-M5155253,687-M5155253,2,37
"Oficina en Venta y Arriendo, EL POBLADO, Medellín",EL POBLADO | Suroriente | Medellín,$1.350.000.000,"260 m²
3 bañ.
4 par.",260,,3,4,https://www.metrocuadrado.com/inmueble/venta-oficina-medellin-la-aguacatala-3-banos-4-garajes/687-M2428686,687-M2428686,2,38
"Casa en Arriendo, EL POBLADO, Medellín",EL POBLADO | Suroriente | Medellín,$8.200.000,"325 m²
3 hab.
4 bañ.
2 par.",325,3,4,2,https://www.metrocuadrado.com/inmueble/arriendo-casa-medellin-el-tesoro-3-habitaciones-4-banos-2-garajes/687-M3091149,687-M3091149,2,39
"Apartamento en Arriendo, EL POBLADO, Medellín",EL POBLADO | Suroriente | Medellín,$6.200.000,"180 m²
2 hab.
3 bañ.
2 par.",180,2,3,2,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-el-tesoro-2-habitaciones-3-banos-2-garajes/687-M5677588,687-M5677588,2,40
"Bodega en Arriendo, Laureles, Medellín",Laureles | Noroccidente | Medellín,$25.000.000,"400 m²
2 bañ.",400,,2,,https://www.metrocuadrado.com/inmueble/arriendo-bodega-medellin-el-velodromo-2-banos/17698-M5838131,17698-M5838131,2,41
"Apartamento en Arriendo, Poblado, Medellín",Poblado | Medellín,$4.500.000,"87 m²
3 hab.
3 bañ.
2 par.",87,3,3,2,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-poblado-3-habitaciones-3-banos-2-garajes/19474-M5841941,19474-M5841941,2,42
"Local Comercial en Arriendo, Laureles, Medellín",Laureles | Noroccidente | Medellín,$8.500.000,"153 m²
1 bañ.
1 par.",153,,1,1,https://www.metrocuadrado.com/inmueble/arriendo-local-comercial-medellin-lorena-1-banos-1-garajes/17698-M5837716,17698-M5837716,2,43
"Local Comercial en Arriendo, Poblado, Medellín",Poblado | Noroccidente | Medellín,$7.000.000,"93,05 m²",05,,,,https://www.metrocuadrado.com/inmueble/arriendo-local-comercial-medellin-los-conquistadores/661-M5029868,661-M5029868,2,44
"Oficina en Arriendo, Laureles, Medellín",Laureles | Noroccidente | Medellín,$3.100.000,"60 m²
1 bañ.
1 par.",60,,1,1,https://www.metrocuadrado.com/inmueble/arriendo-oficina-medellin-lorena-1-banos-1-garajes/17698-M5825094,17698-M5825094,2,45
"Edificio de Apartamentos en Arriendo, Catercol, Medellín",Catercol | Suroriente | Medellín,$15.000.000,391 m²,391,,,,https://www.metrocuadrado.com/inmueble/arriendo-edificio-de-apartamentos-medellin-perpetuo-socorro/18075-M5347367,18075-M5347367,2,46
"Apartamento en Arriendo, LAS PALMAS, Medellín",LAS PALMAS | Suroriente | Medellín,$7.200.000,"110 m²
2 hab.
3 bañ.
1 par.",110,2,3,1,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-castropol-2-habitaciones-3-banos-1-garajes/16749-M4802293,16749-M4802293,2,47
"Local Comercial en Arriendo, Poblado, Medellín",Poblado | Medellín,$1.800.000,"18 m²
1 bañ.",18,,1,,https://www.metrocuadrado.com/inmueble/arriendo-local-comercial-medellin-poblado-1-banos/17698-M6012346,17698-M6012346,2,48
"Bodega en Arriendo, Aguacatala, Medellín",Aguacatala | Suroccidente | Medellín,$42.000.000,"1.200 m²
5 bañ.
4 par.",200,,5,4,https://www.metrocuadrado.com/inmueble/arriendo-bodega-medellin-guayabal-5-banos-4-garajes/17698-M5846679,17698-M5846679,2,49
