,titulo,ubicacion,precio,area_m2,habitaciones,banos,parqueaderos,url
0,"Apartamento en Arriendo, Poblado, Medellín",pobladoe | medellín,7.500.000,130.0,2,3,2,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-el-tesoro-2-habitaciones-3-banos-2-garajes/2511-M6052748
1,"Apartamento en Arriendo, Laureles, Medellín",laureles | medellín,2.500.000,48.0,2,2,1,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-laureles-2-habitaciones-2-banos-1-garajes/17143-M6029235
2,"Apartamento en Arriendo, El Poblado, Medellín",el poblado | medellín,5.500.000,99.0,3,2,0,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-el-poblado-3-habitaciones-2-banos/11166-M6050438
3,"Casa en Arriendo, Poblado, Medellín",pobladoe | medellín,9.500.000,280.0,4,2,2,https://www.metrocuadrado.com/inmueble/arriendo-casa-medellin-el-tesoro-4-habitaciones-2-banos-2-garajes/18537-M6039826
4,"Local Comercial en Arriendo, Poblado, Medellín",pobladoe | medellín,12.000.000,140.0,0,0,0,https://www.metrocuadrado.com/inmueble/arriendo-local-comercial-medellin-la-florida/18537-M5986805
5,"Apartamento en Arriendo, Loma Del Indio, Medellín",loma del indio | medellín,2.150.000,54.0,2,1,1,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-loma-del-indio-2-habitaciones-1-banos-1-garajes/16509-M6043919
6,"Casa en Arriendo, Loma De Los Bernal, Medellín",loma de los bernal | medellín,2.300.000,42.0,1,1,1,https://www.metrocuadrado.com/inmueble/arriendo-casa-medellin-loma-de-los-bernal-1-habitaciones-1-banos-1-garajes/16509-M6044740
7,"Apartamento en Arriendo, Las Villas, Medellín",las villas | medellín,2.750.000,78.0,3,2,1,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-las-villas-3-habitaciones-2-banos-1-garajes/16509-M6063309
8,"Apartamento en Arriendo, Loma De Los Bernal, Medellín",loma de los bernale | medellín,3.800.000,110.0,4,3,1,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-loma-de-los-bernal-4-habitaciones-3-banos-1-garajes/2511-M6064733
9,"Apartamento en Arriendo, Ciudad Del Rio, Medellín",ciudad del rio | medellín,3.500.000,65.0,3,2,1,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-ciudad-del-rio-3-habitaciones-2-banos-1-garajes/11166-M6010905
10,"Local Comercial en Arriendo, Las Palmas, Medellín",las palmas | medellín,2.300.000,105.0,0,2,0,https://www.metrocuadrado.com/inmueble/arriendo-local-comercial-medellin-las-palmas-2-banos/11166-M6011369
11,"Oficina en Arriendo, El Nogal, Medellín",el nogal | medellín,9.750.000,162.0,0,1,0,https://www.metrocuadrado.com/inmueble/arriendo-oficina-medellin-el-nogal-1-banos/11166-M6011542
12,"Oficina en Arriendo, El Nogal, Medellín",el nogal | medellín,5.104.000,88.0,0,1,0,https://www.metrocuadrado.com/inmueble/arriendo-oficina-medellin-el-nogal-1-banos/11166-M6011535
13,"Apartamento en Arriendo, La Linde, Medellín",la linde | medellín,3.600.000,70.0,3,2,1,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-la-linde-3-habitaciones-2-banos-1-garajes/11166-M6011360
14,"Local Comercial en Arriendo, Pedregal, Medellín",pedregal | medellín,1.400.000,20.0,0,1,0,https://www.metrocuadrado.com/inmueble/arriendo-local-comercial-medellin-pedregal-1-banos/11166-M6064739
15,"Apartamento en Arriendo, Ciudad Del Rio, Medellín",ciudad del rio | medellín,3.800.000,80.0,3,2,1,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-ciudad-del-rio-3-habitaciones-2-banos-1-garajes/11166-M6064745
16,"Apartamento en Arriendo, Los Balsos, Medellín",los balsos | medellín,4.800.000,117.0,3,2,1,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-los-balsos-3-habitaciones-2-banos-1-garajes/19115-M6065203
17,"Apartamento en Arriendo, Castropol, Medellín",castropol | medellín,7.300.000,85.0,1,2,1,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-castropol-1-habitaciones-2-banos-1-garajes/4660-M6040618
18,"Apartamento en Arriendo, EL POBLADO, Medellín",el pobladoe | medellín,5.200.000,106.0,2,2,2,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-los-balsos-no.1-2-habitaciones-2-banos-2-garajes/687-M5467934
19,"Apartaestudio en Arriendo, Poblado, Medellín",pobladoe | medellín,6.000.000,64.0,1,2,1,https://www.metrocuadrado.com/inmueble/arriendo-apartaestudio-medellin-los-balsos-no.1-1-habitaciones-2-banos-1-garajes/20543-M6013100
20,"Apartamento en Arriendo, EL POBLADO, Medellín",el pobladoe | medellín,6.400.000,170.0,3,4,2,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-la-florida-3-habitaciones-4-banos-2-garajes/687-M5514610
21,"Apartamento en Arriendo, EL POBLADO, Medellín",el pobladoe | medellín,7.100.000,140.0,3,4,3,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-alejandria-3-habitaciones-4-banos-3-garajes/687-M5071973
22,"Apartamento en Arriendo, EL POBLADO, Medellín",el pobladoe | medellín,3.650.000,72.0,3,2,1,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-simesa-3-habitaciones-2-banos-1-garajes/687-M5469025
23,"Apartamento en Arriendo, Poblado, Medellín",pobladoe | medellín,6.700.000,126.0,2,2,1,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-alejandria-2-habitaciones-2-banos-1-garajes/20543-M6013191
24,"Apartamento en Arriendo, Envigado, Medellín",envigado | medellín,6.500.000,135.0,3,3,2,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-san-sebastian-3-habitaciones-3-banos-2-garajes/20543-M6013210
25,"Apartamento en Arriendo, EL POBLADO, Medellín",el pobladoe | medellín,6.550.000,150.0,3,4,2,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-los-balsos-no.2-3-habitaciones-4-banos-2-garajes/687-M5468647
26,"Casa en Arriendo, Poblado San Lucas, Medellín",poblado san lucas | medellín,22.500.000,381.0,3,4,2,https://www.metrocuadrado.com/inmueble/arriendo-casa-medellin-poblado-san-lucas-3-habitaciones-4-banos-2-garajes/20765-M6015148
27,"Apartamento en Arriendo, EL POBLADO, Medellín",el pobladoe | medellín,7.550.000,170.0,3,4,2,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-el-tesoro-3-habitaciones-4-banos-2-garajes/687-M4823155
28,"Casa en Arriendo, EL POBLADO, Medellín",el pobladoe | medellín,26.000.000,450.0,4,5,4,https://www.metrocuadrado.com/inmueble/arriendo-casa-medellin-los-balsos-no.1-4-habitaciones-5-banos-4-garajes/687-M5682071
29,"Casa en Arriendo, EL POBLADO, Medellín",el pobladoe | medellín,10.500.000,271.0,3,4,2,https://www.metrocuadrado.com/inmueble/arriendo-casa-medellin-san-lucas-3-habitaciones-4-banos-2-garajes/687-M5469121
30,"Apartamento en Arriendo, EL POBLADO, Medellín",el pobladoe | medellín,7.300.000,106.0,2,2,2,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-los-balsos-no.1-2-habitaciones-2-banos-2-garajes/687-M5467918
31,"Apartamento en Arriendo, Poblado, Medellín",pobladoe | medellín,9.000.000,120.0,3,3,1,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-los-balsos-no.1-3-habitaciones-3-banos-1-garajes/20543-M5997125
32,"Apartamento en Arriendo, EL POBLADO, Medellín",el poblado | medellín,10.000.000,174.0,3,4,3,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-santa-maria-de-los-angeles-3-habitaciones-4-banos-3-garajes/687-M5965904
33,"Apartamento en Arriendo, EL POBLADO, Medellín",el pobladoe | medellín,7.000.000,118.0,2,3,2,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-el-tesoro-2-habitaciones-3-banos-2-garajes/687-M4654610
34,"Apartamento en Arriendo, Calasanz, Medellín",calasanz | medellín,2.800.000,54.0,2,2,1,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-calasanz-2-habitaciones-2-banos-1-garajes/19795-M5691390
35,"Casa en Arriendo, EL POBLADO, Medellín",el pobladoe | medellín,19.000.000,648.0,4,5,4,https://www.metrocuadrado.com/inmueble/arriendo-casa-medellin-el-tesoro-4-habitaciones-5-banos-4-garajes/687-M4293885
36,"Casa en Arriendo, Palmas, Medellín",palmas | medellín,45.000.000,360.0,4,5,4,https://www.metrocuadrado.com/inmueble/arriendo-casa-medellin-palmas-4-habitaciones-5-banos-4-garajes/20765-M6017242
37,"Apartamento en Arriendo, El Poblado, Medellín",el poblado | medellín,18.000.000,260.0,3,4,2,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-el-poblado-3-habitaciones-4-banos-2-garajes/20765-M6015781
38,"Apartamento en Arriendo, El Poblado, Medellín",el poblado | medellín,22.000.000,260.0,3,4,2,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-el-poblado-3-habitaciones-4-banos-2-garajes/20765-M6015789
39,"Apartamento en Arriendo, EL POBLADO, Medellín",el pobladoe | medellín,9.700.000,214.0,3,4,3,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-los-balsos-no.1-3-habitaciones-4-banos-3-garajes/687-M4654582
40,"Apartamento en Arriendo, Lalinde, Medellín",lalinde | medellín,9.500.000,121.0,2,3,1,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-lalinde-2-habitaciones-3-banos-1-garajes/20772-M6015479
41,"Oficina en Arriendo, Laureles, Medellín",laureles | medellín,2.250.000,33.0,0,1,1,https://www.metrocuadrado.com/inmueble/arriendo-oficina-medellin-laureles-1-banos-1-garajes/17698-M6062937
42,"Oficina en Arriendo, Laureles, Medellín",laurelese | medellín,3.100.000,60.0,0,1,1,https://www.metrocuadrado.com/inmueble/arriendo-oficina-medellin-lorena-1-banos-1-garajes/17698-M5825094
43,"Local Comercial en Arriendo, Guayabal, Medellín",guayabale | medellín,16.357.000,200.0,0,2,3,https://www.metrocuadrado.com/inmueble/arriendo-local-comercial-medellin-shellmar-2-banos-3-garajes/17698-M5817859
44,"Apartamento en Arriendo, Medellin, Medellín",in | medellín,5.250.000,128.0,3,4,2,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-medellin-3-habitaciones-4-banos-2-garajes/11813-M5777511
45,"Oficina en Arriendo, Guayabal, Medellín",guayabale | medellín,93.798.600,359.0,0,5,4,https://www.metrocuadrado.com/inmueble/arriendo-oficina-medellin-shellmar-5-banos-4-garajes/17698-M5774426
46,"Apartamento en Arriendo, Medellin, Medellín",in | medellín,4.500.000,120.0,3,4,1,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-medellin-3-habitaciones-4-banos-1-garajes/11813-M6018002
47,"Casa en Arriendo, Santa Fe, Medellín",santa fe | medellín,2.000.000,120.0,3,2,0,https://www.metrocuadrado.com/inmueble/arriendo-casa-medellin-santa-fe-3-habitaciones-2-banos/17698-M6062834
48,"Oficina en Arriendo, Laureles, Medellín",laurelese | medellín,3.500.000,70.0,0,1,1,https://www.metrocuadrado.com/inmueble/arriendo-oficina-medellin-lorena-1-banos-1-garajes/17698-M5825127
49,"Apartamento en Arriendo, Poblado, Medellín",poblado | medellín,7.500.000,163.0,3,3,2,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-poblado-3-habitaciones-3-banos-2-garajes/19474-M5962398
50,"Apartamento en Arriendo, Medellin, Medellín",in | medellín,3.400.000,85.0,3,2,0,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-medellin-3-habitaciones-2-banos/11813-M5965769
51,"Apartamento en Arriendo, CALASANZ PARTE ALTA, Medellín",calasanz parte altae | medellín,3.300.000,100.0,3,2,2,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-los-alcazares-3-habitaciones-2-banos-2-garajes/16115-M6060698
52,"Casa en Arriendo, Los Balsos, Medellín",los balsos | medellín,58.700.000,29.0,5,5,2,https://www.metrocuadrado.com/inmueble/arriendo-casa-medellin-los-balsos-5-habitaciones-5-banos-2-garajes/2671-M5812213
53,"Casa en Arriendo, El Retiro, Medellín",el retiro | medellín,16.000.000,361.0,4,5,2,https://www.metrocuadrado.com/inmueble/arriendo-casa-medellin-na-4-habitaciones-5-banos-2-garajes/2671-M5812021
54,"Casa en Arriendo, ALTOS DEL POBLADO, Medellín",altos del pobladoe | medellín,8.800.000,240.0,4,5,3,https://www.metrocuadrado.com/inmueble/arriendo-casa-medellin-altos-del-poblado-4-habitaciones-5-banos-3-garajes/10842-M6017896
55,"Apartamento en Arriendo, El Tesoro, Medellín",el tesoro | medellín,30.000.000,458.0,5,5,3,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-el-tesoro-5-habitaciones-5-banos-3-garajes/2671-M6014232
56,"Apartamento en Arriendo, EL POBLADO EL TESORO, Medellín",el poblado el tesoroe | medellín,39.900.000,700.0,4,5,4,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-los-balsos-no.1-4-habitaciones-5-banos-4-garajes/17556-M5186602
57,"Apartamento en Arriendo, Los Balsos, Medellín",los balsos | medellín,4.600.000,110.0,3,2,2,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-los-balsos-3-habitaciones-2-banos-2-garajes/11224-M6070847
58,"Apartamento en Arriendo, Lalinde, Medellín",lalinde | medellín,8.700.000,121.0,2,3,1,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-lalinde-2-habitaciones-3-banos-1-garajes/847-M6012249
59,"Apartamento en Arriendo, El Tesoro, Medellín",el tesoroe | medellín,7.500.000,4.0,3,3,2,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-el-tesoro-3-habitaciones-3-banos-2-garajes/847-M5838520
60,"Casa en Arriendo, Los Balsos, Medellín",los balsos | medellín,60.000.000,500.0,5,5,4,https://www.metrocuadrado.com/inmueble/arriendo-casa-medellin-los-balsos-5-habitaciones-5-banos-4-garajes/16958-M4884657
61,"Apartamento en Arriendo, El Poblado, Medellín",el poblado | medellín,9.500.000,170.0,4,4,2,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-el-poblado-4-habitaciones-4-banos-2-garajes/14059-M6043504
62,"Apartamento en Arriendo, El Poblado, Medellín",el poblado | medellín,6.000.000,170.0,4,4,2,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-el-poblado-4-habitaciones-4-banos-2-garajes/14059-M6012487
63,"Apartamento en Arriendo, Poblado, Medellín",poblado | medellín,14.600.000,135.0,3,4,2,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-poblado-3-habitaciones-4-banos-2-garajes/16120-M6015246
64,"Apartamento en Arriendo, LAURELES Nororiente, Medellín",laurelesee | medellín,6.000.000,106.0,3,4,1,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-lorena-3-habitaciones-4-banos-1-garajes/MC5943186
65,"Apartamento en Arriendo, BELEN LOMA DE LOS BERNAL Nororiente, Medellín",belen loma de los bernalee | medellín,3.800.000,100.0,3,2,1,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-loma-de-los-bernal-3-habitaciones-2-banos-1-garajes/MC5999951
66,"Oficina en Arriendo, LA CANDELARIA Nororiente, Medellín",la candelariaee | medellín,1.150.000,4.0,0,1,0,https://www.metrocuadrado.com/inmueble/arriendo-oficina-medellin-la-candelaria-1-banos/MC5850725
67,"Apartamento en Arriendo, EL POBLADO SANTA MARIA DE LOS ANGELES Suroriente, Medellín",el poblado santa maria de los angelesee | medellín,3.000.000,60.0,2,2,1,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-santa-maria-de-los-angeles-2-habitaciones-2-banos-1-garajes/MC6028170
68,"Apartamento en Arriendo, El Poblado, Medellín",el pobladoe | medellín,9.500.000,83.0,3,5,0,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-asomadera-no.2-3-habitaciones-5-banos/2895-M5364841
69,"Casa en Arriendo, Alto De Las Palmas, Medellín",alto de las palmas | medellín,14.500.000,330.0,3,5,4,https://www.metrocuadrado.com/inmueble/arriendo-casa-medellin-na-3-habitaciones-5-banos-4-garajes/20765-M6000163
70,"Local Comercial en Arriendo, Nogal Los Almendros, Medellín",nogal los almendros | medellín,6.000.000,84.0,0,1,0,https://www.metrocuadrado.com/inmueble/arriendo-local-comercial-medellin-nogal-los-almendros-1-banos/2214-M4562146
71,"Apartamento en Arriendo, La Almeria, Medellín",la almeria | medellín,2.800.000,150.0,3,3,2,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-la-almeria-3-habitaciones-3-banos-2-garajes/11166-M6065385
72,"Casa en Arriendo, El Poblado, Medellín",el poblado | medellín,16.000.000,225.0,4,5,2,https://www.metrocuadrado.com/inmueble/arriendo-casa-medellin-el-poblado-4-habitaciones-5-banos-2-garajes/20775-M6029072
73,"Apartamento en Arriendo, El Poblado, Medellín",el poblado | medellín,9.500.000,105.0,2,2,2,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-el-poblado-2-habitaciones-2-banos-2-garajes/20775-M6006894
74,"Apartamento en Arriendo, El Poblado, Medellín",el poblado | medellín,12.500.000,215.0,3,3,1,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-el-poblado-3-habitaciones-3-banos-1-garajes/20775-M6001607
75,"Apartamento en Arriendo, Alto De Las Palmas, Medellín",alto de las palmas | medellín,10.500.000,164.0,4,4,0,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-alto-de-las-palmas-4-habitaciones-4-banos/20775-M6001604
76,"Apartamento en Arriendo, Florida Nueva, Medellín",florida nuevae | medellín,2.200.000,90.0,3,3,0,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-naranjal-3-habitaciones-3-banos/13934-M6038782
77,"Casa en Arriendo, ROBLEDO LA CAMPIÑA, Medellín",robledo la campiñae | medellín,1.200.000,100.0,2,1,1,https://www.metrocuadrado.com/inmueble/arriendo-casa-medellin-cucaracho-2-habitaciones-1-banos-1-garajes/18296-M6054319
78,"Local Comercial en Arriendo, Villa Nueva, Medellín",villa nueva | medellín,10.000.000,144.0,0,0,0,https://www.metrocuadrado.com/inmueble/arriendo-local-comercial-medellin-villa-nueva/19474-M5674368
79,"Apartamento en Arriendo, Los Colores, Medellín",los colorese | medellín,2.850.000,60.0,3,2,1,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-san-german-3-habitaciones-2-banos-1-garajes/17136-M6065913
80,"Apartamento en Arriendo, CALASANZ PARTE ALTA, Medellín",calasanz parte altae | medellín,2.250.000,57.0,3,2,1,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-los-alcazares-3-habitaciones-2-banos-1-garajes/16115-M6034913
81,"Bodega en Arriendo, Belen, Medellín",belen | medellín,13.500.000,500.0,0,4,3,https://www.metrocuadrado.com/inmueble/arriendo-bodega-medellin-belen-4-banos-3-garajes/17698-M6050281
82,"Local Comercial en Arriendo, Laureles, Medellín",laureles | medellín,7.900.000,120.0,0,3,1,https://www.metrocuadrado.com/inmueble/arriendo-local-comercial-medellin-laureles-3-banos-1-garajes/19795-M5744592
83,"Apartamento en Arriendo, EL POBLADO, Medellín",el pobladoe | medellín,4.700.000,116.0,3,3,2,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-la-florida-3-habitaciones-3-banos-2-garajes/687-M5511812
84,"Apartamento en Arriendo, Laureles, Medellín",laurelese | medellín,5.000.000,110.0,3,3,0,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-lorena-3-habitaciones-3-banos/20662-M6060255
85,"Apartamento en Arriendo, Poblado, Medellín",pobladoe | medellín,12.000.000,130.0,3,3,2,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-los-naranjos-3-habitaciones-3-banos-2-garajes/20543-M6070728
86,"Apartamento en Arriendo, EL POBLADO, Medellín",el pobladoe | medellín,9.300.000,165.0,3,4,3,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-el-tesoro-3-habitaciones-4-banos-3-garajes/687-M5512141
87,"Apartamento en Arriendo, EL POBLADO, Medellín",el pobladoe | medellín,8.800.000,210.0,3,4,2,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-los-balsos-no.1-3-habitaciones-4-banos-2-garajes/687-M4698307
88,"Apartamento en Arriendo, EL POBLADO, Medellín",el pobladoe | medellín,18.200.000,400.0,3,4,2,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-la-florida-3-habitaciones-4-banos-2-garajes/687-M4774605
89,"Casa en Arriendo, Florida Nueva, Medellín",florida nueva | medellín,6.600.000,196.0,5,5,0,https://www.metrocuadrado.com/inmueble/arriendo-casa-medellin-florida-nueva-5-habitaciones-5-banos/19795-M5691377
90,"Apartamento en Arriendo, EL POBLADO, Medellín",el pobladoe | medellín,18.200.000,400.0,3,4,2,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-la-florida-3-habitaciones-4-banos-2-garajes/687-M4774634
91,"Casa en Arriendo, EL POBLADO, Medellín",el pobladoe | medellín,18.000.000,432.0,3,4,3,https://www.metrocuadrado.com/inmueble/arriendo-casa-medellin-el-tesoro-3-habitaciones-4-banos-3-garajes/687-M5462930
92,"Apartamento en Arriendo, Loma Del Encierro, Medellín",loma del encierro | medellín,4.000.000,98.0,2,2,0,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-loma-del-encierro-2-habitaciones-2-banos/20384-M5966450
93,"Apartamento en Arriendo, EL POBLADO, Medellín",el pobladoe | medellín,4.050.000,86.0,3,2,1,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-santa-maria-de-los-angeles-3-habitaciones-2-banos-1-garajes/687-M5514251
94,"Apartamento en Arriendo, Poblado, Medellín",pobladoe | medellín,13.500.000,130.0,3,4,2,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-la-linde-3-habitaciones-4-banos-2-garajes/20543-M6065528
95,"Apartamento en Arriendo, EL POBLADO, Medellín",el pobladoe | medellín,5.200.000,88.0,1,3,2,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-los-balsos-no.1-1-habitaciones-3-banos-2-garajes/687-M5732961
96,"Casa en Arriendo, EL POBLADO, Medellín",el pobladoe | medellín,60.000.000,200.0,4,5,4,https://www.metrocuadrado.com/inmueble/arriendo-casa-medellin-los-balsos-no.2-4-habitaciones-5-banos-4-garajes/687-M3828456
97,"Apartamento en Arriendo, EL POBLADO, Medellín",el pobladoe | medellín,8.500.000,100.0,2,2,2,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-san-lucas-2-habitaciones-2-banos-2-garajes/687-M5732851
98,"Apartamento en Arriendo, EL POBLADO, Medellín",el pobladoe | medellín,7.250.000,133.0,3,3,2,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-los-balsos-no.1-3-habitaciones-3-banos-2-garajes/687-M5569651
99,"Apartamento en Arriendo, EL POBLADO, Medellín",el pobladoe | medellín,6.800.000,128.0,3,3,2,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-el-tesoro-3-habitaciones-3-banos-2-garajes/687-M5512158
100,"Apartamento en Arriendo, EL POBLADO, Medellín",el pobladoe | medellín,6.500.000,134.0,3,3,2,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-el-tesoro-3-habitaciones-3-banos-2-garajes/687-M5680210
101,"Apartamento en Arriendo, EL POBLADO, Medellín",el pobladoe | medellín,5.850.000,125.0,4,3,1,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-santa-maria-de-los-angeles-4-habitaciones-3-banos-1-garajes/687-M2781197
102,"Casa en Arriendo, EL POBLADO, Medellín",el pobladoe | medellín,37.000.000,85.0,4,5,4,https://www.metrocuadrado.com/inmueble/arriendo-casa-medellin-los-balsos-no.1-4-habitaciones-5-banos-4-garajes/687-M5462902
103,"Casa en Arriendo, Poblado, Medellín",pobladoe | medellín,8.000.000,110.0,4,4,0,https://www.metrocuadrado.com/inmueble/arriendo-casa-medellin-el-castillo-4-habitaciones-4-banos/20662-M6014660
104,"Bodega en Arriendo, Guayabal, Medellín",guayabale | medellín,26.000.000,745.0,0,5,0,https://www.metrocuadrado.com/inmueble/arriendo-bodega-medellin-guayabal-5-banos/20662-M5988162
105,"Local Comercial en Arriendo, Poblado, Medellín",pobladoe | medellín,7.000.000,5.0,0,0,0,https://www.metrocuadrado.com/inmueble/arriendo-local-comercial-medellin-los-conquistadores/661-M5029868
106,"Apartamento en Arriendo, Poblado, Medellín",poblado | medellín,4.500.000,87.0,3,3,2,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-poblado-3-habitaciones-3-banos-2-garajes/19474-M5841941
107,"Local Comercial en Arriendo, Laureles, Medellín",laurelese | medellín,8.500.000,153.0,0,1,1,https://www.metrocuadrado.com/inmueble/arriendo-local-comercial-medellin-lorena-1-banos-1-garajes/17698-M5837716
108,"Apartamento en Arriendo, El Poblado, Medellín",el pobladoe | medellín,5.900.000,120.0,3,2,2,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-castropol-3-habitaciones-2-banos-2-garajes/16211-M6016650
109,"Casa en Arriendo, Simon Bolivar, Medellín",simon bolivar | medellín,5.500.000,110.0,5,2,0,https://www.metrocuadrado.com/inmueble/arriendo-casa-medellin-simon-bolivar-5-habitaciones-2-banos/18936-M6067470
110,"Oficina en Arriendo, Lemont, Medellín",lemont | medellín,5.500.000,22.0,0,1,1,https://www.metrocuadrado.com/inmueble/arriendo-oficina-medellin-lemont-1-banos-1-garajes/175-M5769219
111,"Bodega en Arriendo, Laureles, Medellín",laurelese | medellín,25.000.000,400.0,0,2,0,https://www.metrocuadrado.com/inmueble/arriendo-bodega-medellin-el-velodromo-2-banos/17698-M5838131
112,"Edificio de Apartamentos en Arriendo, Catercol, Medellín",catercole | medellín,15.000.000,391.0,0,0,0,https://www.metrocuadrado.com/inmueble/arriendo-edificio-de-apartamentos-medellin-perpetuo-socorro/18075-M5347367
113,"Local Comercial en Arriendo, Poblado, Medellín",poblado | medellín,1.800.000,18.0,0,1,0,https://www.metrocuadrado.com/inmueble/arriendo-local-comercial-medellin-poblado-1-banos/17698-M6012346
114,"Bodega en Arriendo, Aguacatala, Medellín",aguacatalae | medellín,42.000.000,200.0,0,5,4,https://www.metrocuadrado.com/inmueble/arriendo-bodega-medellin-guayabal-5-banos-4-garajes/17698-M5846679
115,"Apartamento en Arriendo, LAS PALMAS, Medellín",las palmase | medellín,7.200.000,110.0,2,3,1,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-castropol-2-habitaciones-3-banos-1-garajes/16749-M4802293
116,"Apartamento en Arriendo, Loma Los Gonzalez, Medellín",loma los gonzaleze | medellín,6.000.000,104.0,3,3,2,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-san-lucas-3-habitaciones-3-banos-2-garajes/11224-M5856883
117,"Apartamento en Arriendo, San Lucas, Medellín",san lucase | medellín,4.500.000,128.0,3,3,2,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-san-lucas-3-habitaciones-3-banos-2-garajes/11224-M5941951
118,"Apartamento en Arriendo, Poblado Alto, Medellín",poblado altoe | medellín,6.700.000,107.0,2,3,2,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-altos-del-poblado-2-habitaciones-3-banos-2-garajes/11224-M5750605
