,titulo,ubicacion,precio,area_m2,habitaciones,banos,parqueaderos,url
8865,"Casa en Arriendo, LOS BALSOS, Medellín",los balsose | medellín,25.000.000,800.0,5,5,4,https://www.metrocuadrado.com/inmueble/arriendo-casa-medellin-san-lucas-5-habitaciones-5-banos-4-garajes/16174-M5750529
8866,"Apartamento en Arriendo, CASTROPOL, Medellín",castropole | medellín,4.200.000,90.0,2,3,1,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-castropol-2-habitaciones-3-banos-1-garajes/16174-M5267518
8867,"Oficina en Arriendo, Manila, Medellín",anila | medellín,8.330.449,75.0,0,3,2,https://www.metrocuadrado.com/inmueble/arriendo-oficina-medellin-manila-3-banos-2-garajes/18597-M6040848
8868,"Apartamento en Arriendo, Belen Parque, Medellín",belen parque | medellín,3.300.000,100.0,3,1,1,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-belen-parque-3-habitaciones-1-banos-1-garajes/18597-M6041021
8869,"Apartamento en Arriendo, Altos Del Poblado, Medellín",altos del poblado | medellín,2.950.000,64.0,2,2,1,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-altos-del-poblado-2-habitaciones-2-banos-1-garajes/847-M4732020
8870,"Apartamento en Arriendo, Poblado El Tesoro, Medellín",poblado el tesoro | medellín,4.500.000,80.0,2,2,1,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-poblado-el-tesoro-2-habitaciones-2-banos-1-garajes/18597-M6041215
8871,"Apartamento en Arriendo, Poblado, Medellín",poblado | medellín,8.000.000,110.0,3,2,2,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-poblado-3-habitaciones-2-banos-2-garajes/16120-M5101883
8872,"Apartaestudio en Arriendo, Velodromo, Medellín",velodromo | medellín,1.450.000,30.0,1,1,0,https://www.metrocuadrado.com/inmueble/arriendo-apartaestudio-medellin-velodromo-1-habitaciones-1-banos/18597-M6041571
8876,"Apartamento en Arriendo, EL POBLADO, Medellín",el pobladoe | medellín,3.800.000,76.0,2,2,1,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-los-balsos-no.2-2-habitaciones-2-banos-1-garajes/687-M4982242
8877,"Local Comercial en Arriendo, EL POBLADO, Medellín",el pobladoe | medellín,5.500.000,60.0,0,0,0,https://www.metrocuadrado.com/inmueble/arriendo-local-comercial-medellin-villa-carlota/687-M2856824
8878,"Apartamento en Arriendo, EL POBLADO, Medellín",el pobladoe | medellín,4.700.000,90.0,2,3,1,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-simesa-2-habitaciones-3-banos-1-garajes/687-M4784696
