titulo,ubicacion,precio,area_m2,habitaciones,banos,parqueaderos,url
"Apartamento en Arriendo, EL POBLADO, Medellín",El Poblado,7.100.000,200.0,3,4,2,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-la-florida-3-habitaciones-4-banos-2-garajes/687-M4454226
"Apartamento en Arriendo, EL POBLADO, Medellín",El Poblado,17.100.000,215.0,4,4,2,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-el-diamante-no.2-4-habitaciones-4-banos-2-garajes/687-M4807621
"Apartamento en Arriendo, EL POBLADO, Medellín",El Poblado,7.600.000,70.0,2,2,1,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-altos-del-poblado-2-habitaciones-2-banos-1-garajes/687-M4692029
"Local Comercial en Arriendo, EL POBLADO, Medellín",El Poblado,2.900.000,30.0,0,0,0,https://www.metrocuadrado.com/inmueble/arriendo-local-comercial-medellin-san-diego/687-M6063144
"Apartamento en Arriendo, EL POBLADO, Medellín",El Poblado,5.700.000,196.0,3,5,3,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-los-balsos-no.1-3-habitaciones-5-banos-3-garajes/687-M4898125
"Local Comercial en Arriendo, CIUDAD DEL RIO, Medellín",Ciudad Del Río,42.500.000,505.0,0,0,0,https://www.metrocuadrado.com/inmueble/arriendo-local-comercial-medellin-simesa/20214-M5947170
"Apartamento en Arriendo, EL POBLADO, Medellín",El Poblado,7.300.000,230.0,4,4,3,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-la-florida-4-habitaciones-4-banos-3-garajes/687-M4940937
"Apartamento en Arriendo, San Lucas, Medellín",San Lucas,7.500.000,190.0,3,3,0,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-san-lucas-3-habitaciones-3-banos/2214-M6002398
"Apartaestudio en Arriendo, Medellin, Medellín",In | Medellín,3.200.000,80.0,1,1,1,https://www.metrocuadrado.com/inmueble/arriendo-apartaestudio-medellin-medellin-1-habitaciones-1-banos-1-garajes/17017-M5809909
"Apartamento en Arriendo, Laureles, Medellín",Laureles,5.500.000,168.0,3,3,0,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-laureles-3-habitaciones-3-banos/2214-M5857127
"Apartamento en Arriendo, San Lucas, Medellín",San Lucas,5.800.000,152.0,3,4,0,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-san-lucas-3-habitaciones-4-banos/2214-M5854484
"Apartamento en Arriendo, El Poblado, Medellín",El Poblado,6.100.000,90.0,3,2,1,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-el-poblado-3-habitaciones-2-banos-1-garajes/17017-M6067812
"Casa en Arriendo, El Campestre, Medellín",El Campestre,30.000.000,300.0,4,4,0,https://www.metrocuadrado.com/inmueble/arriendo-casa-medellin-san-lucas-4-habitaciones-4-banos/2214-M6069281
"Apartamento en Arriendo, EL POBLADO LA CALERA, Medellín",El Poblado,9.000.000,220.0,3,5,2,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-el-tesoro-3-habitaciones-5-banos-2-garajes/233-M5208092
"Casa en Arriendo, San Lucas, Medellín",San Lucas,18.000.000,490.0,4,5,3,https://www.metrocuadrado.com/inmueble/arriendo-casa-medellin-san-lucas-4-habitaciones-5-banos-3-garajes/16120-M5986519
"Apartamento en Arriendo, Los Colores, Medellín",Los Colores,3.100.000,88.0,3,2,1,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-los-colores-3-habitaciones-2-banos-1-garajes/18597-M6041284
"Apartamento en Arriendo, Los Colores, Medellín",Los Colores,3.100.000,82.0,3,2,1,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-los-colores-3-habitaciones-2-banos-1-garajes/18597-M6041367
"Apartamento en Arriendo, Poblado Castropol, Medellín",El Poblado,5.600.000,130.0,3,3,2,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-poblado-castropol-3-habitaciones-3-banos-2-garajes/18597-M6041423
"Finca en Arriendo, Llano Grande, Medellín",Llano Grande | Medellín,60.000.000,1.0,3,3,0,https://www.metrocuadrado.com/inmueble/arriendo-finca-medellin-llano-grande-3-habitaciones-3-banos/16958-M4885681
"Oficina en Venta y Arriendo, EL POBLADO, Medellín",El Poblado,440.000.000,60.0,0,1,1,https://www.metrocuadrado.com/inmueble/venta-oficina-medellin-manila-1-banos-1-garajes/687-M2988700
"Apartamento en Arriendo, Castropol, Medellín",Castropol,3.900.000,98.0,2,2,1,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-na-2-habitaciones-2-banos-1-garajes/20772-M5993728
"Casa en Arriendo, EL POBLADO, Medellín",El Poblado,14.200.000,340.0,4,5,2,https://www.metrocuadrado.com/inmueble/arriendo-casa-medellin-el-tesoro-4-habitaciones-5-banos-2-garajes/687-M3275388
"Apartamento en Arriendo, EL POBLADO, Medellín",El Poblado,6.800.000,247.0,4,4,1,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-el-tesoro-4-habitaciones-4-banos-1-garajes/687-M2105293
"Apartamento en Venta y Arriendo, EL POBLADO, Medellín",El Poblado,2.000.000.000,390.0,4,4,3,https://www.metrocuadrado.com/inmueble/venta-apartamento-medellin-el-poblado-4-habitaciones-4-banos-3-garajes/687-M2494211
"Apartamento en Arriendo, EL POBLADO, Medellín",El Poblado,4.900.000,97.0,3,2,2,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-san-lucas-3-habitaciones-2-banos-2-garajes/687-M5949694
"Oficina en Arriendo, Candelaria, Medellín",Candelaria | Medellín,3.000.000,90.0,0,2,0,https://www.metrocuadrado.com/inmueble/arriendo-oficina-medellin-candelaria-2-banos/20769-M5990386
"Apartamento en Venta y Arriendo, EL POBLADO, Medellín",El Poblado,1.640.000.000,335.0,4,5,3,https://www.metrocuadrado.com/inmueble/venta-apartamento-medellin-los-naranjos-4-habitaciones-5-banos-3-garajes/687-M2392137
"Apartamento en Arriendo, EL POBLADO, Medellín",El Poblado,6.300.000,127.0,3,3,2,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-la-linde-3-habitaciones-3-banos-2-garajes/687-M4939671
"Apartamento en Arriendo, EL POBLADO, Medellín",El Poblado,6.400.000,120.0,3,3,2,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-los-balsos-no.2-3-habitaciones-3-banos-2-garajes/687-M4672768
"Apartamento en Arriendo, EL POBLADO, Medellín",El Poblado,4.000.000,103.0,3,2,1,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-patio-bonito-3-habitaciones-2-banos-1-garajes/687-M5206776
"Apartamento en Arriendo, EL POBLADO, Medellín",El Poblado,3.900.000,152.0,3,3,2,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-los-balsos-no.1-3-habitaciones-3-banos-2-garajes/687-M2832016
"Apartamento en Venta y Arriendo, EL POBLADO, Medellín",El Poblado,810.000.000,156.0,3,4,2,https://www.metrocuadrado.com/inmueble/venta-apartamento-medellin-el-tesoro-3-habitaciones-4-banos-2-garajes/687-M2105188
"Casa lote en Arriendo, Naranjal, Medellín",Naranjale | Medellín,13.000.000,60.0,0,0,0,https://www.metrocuadrado.com/inmueble/arriendo-casa-lote-medellin-naranjal/19797-M5802539
"Apartamento en Arriendo, LA AMERICA, Medellín",La América,2.600.000,70.0,3,1,0,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-la-floresta-3-habitaciones-1-banos/12116-M4772807
"Apartamento en Arriendo, LAURELES, Medellín",Laureles,6.200.000,160.0,3,3,2,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-laureles-3-habitaciones-3-banos-2-garajes/12116-M5601778
"Apartamento en Arriendo, EL POBLADO, Medellín",El Poblado,13.800.000,74.0,1,2,1,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-1-habitaciones-2-banos-1-garajes/687-M6055488
"Apartamento en Arriendo, EL POBLADO, Medellín",El Poblado,9.700.000,157.0,3,4,2,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-el-tesoro-3-habitaciones-4-banos-2-garajes/687-M5945741
"Oficina en Arriendo, LAURELES, Medellín",Laureles | Medellín,5.000.000,190.0,0,4,1,https://www.metrocuadrado.com/inmueble/arriendo-oficina-medellin-la-castellana-4-banos-1-garajes/687-M5826288
"Bodega en Arriendo, LAURELES, Medellín",Laureles,25.000.000,678.0,0,0,0,https://www.metrocuadrado.com/inmueble/arriendo-bodega-medellin-estadio/687-M5378054
"Apartamento en Arriendo, EL POBLADO, Medellín",El Poblado,2.750.000,44.0,1,1,1,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-santa-maria-de-los-angeles-1-habitaciones-1-banos-1-garajes/687-M5620633
"Apartamento en Arriendo, EL POBLADO, Medellín",El Poblado,4.400.000,77.0,2,2,1,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-el-tesoro-2-habitaciones-2-banos-1-garajes/687-M5130096
"Casa en Arriendo, EL POBLADO, Medellín",El Poblado,17.300.000,540.0,3,5,2,https://www.metrocuadrado.com/inmueble/arriendo-casa-medellin-los-balsos-no1-3-habitaciones-5-banos-2-garajes/687-M5812701
"Local Comercial en Arriendo, GUAYABAL, Medellín",Guayabal,11.000.000,270.0,0,0,0,https://www.metrocuadrado.com/inmueble/arriendo-local-comercial-medellin-cristo-rey/687-M5957065
"Apartamento en Arriendo, EL POBLADO, Medellín",El Poblado,7.300.000,170.0,2,3,2,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-el-tesoro-2-habitaciones-3-banos-2-garajes/687-M5657801
"Casa en Arriendo, EL POBLADO, Medellín",El Poblado,30.000.000,550.0,3,5,4,https://www.metrocuadrado.com/inmueble/arriendo-casa-medellin-los-balsos-no.1-3-habitaciones-5-banos-4-garajes/687-M5657679
"Apartamento en Arriendo, EL POBLADO, Medellín",El Poblado,6.800.000,300.0,3,2,2,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-el-tesoro-3-habitaciones-2-banos-2-garajes/687-M4748822
"Oficina en Arriendo, EL POBLADO, Medellín",El Poblado,13.300.000,153.0,0,2,2,https://www.metrocuadrado.com/inmueble/arriendo-oficina-medellin-castropol-2-banos-2-garajes/687-M5957033
"Consultorio en Arriendo, EL POBLADO, Medellín",El Poblado,5.790.000,49.0,0,1,1,https://www.metrocuadrado.com/inmueble/arriendo-consultorio-medellin-san-diego-1-banos-1-garajes/687-M5143636
"Apartamento en Arriendo, EL POBLADO, Medellín",El Poblado,5.100.000,110.0,2,3,1,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-el-diamante-no.2-2-habitaciones-3-banos-1-garajes/687-M4762439
"Apartamento en Arriendo, EL POBLADO, Medellín",El Poblado,3.650.000,95.0,3,2,1,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-patio-bonito-3-habitaciones-2-banos-1-garajes/687-M5773115
"Bodega en Arriendo, GUAYABAL, Medellín",Guayabal,9.600.000,400.0,0,0,0,https://www.metrocuadrado.com/inmueble/arriendo-bodega-medellin-campo-amor/687-M5284588
"Apartamento en Venta y Arriendo, EL POBLADO, Medellín",El Poblado,630.000.000,147.0,3,3,2,https://www.metrocuadrado.com/inmueble/venta-apartamento-medellin-las-lomas-no.2-3-habitaciones-3-banos-2-garajes/687-M2964027
"Apartamento en Arriendo, El Poblado, Medellín",El Poblado,3.600.000,70.0,2,2,1,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-el-poblado-2-habitaciones-2-banos-1-garajes/20772-M5993812
"Apartamento en Arriendo, LAURELES, Medellín",Laureles,3.350.000,79.0,2,2,1,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-carlos-e-restrepo-2-habitaciones-2-banos-1-garajes/12116-M4900191
"Local Comercial en Arriendo, BELEN, Medellín",Belén,9.000.000,260.0,0,0,0,https://www.metrocuadrado.com/inmueble/arriendo-local-comercial-medellin-rosales/687-M5121692
"Apartamento en Arriendo, EL POBLADO, Medellín",El Poblado,4.500.000,86.0,2,3,2,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-castropol-2-habitaciones-3-banos-2-garajes/687-M5553154
"Casa en Arriendo, EL POBLADO, Medellín",El Poblado,7.700.000,188.0,3,4,2,https://www.metrocuadrado.com/inmueble/arriendo-casa-medellin-los-balsos-no.1-3-habitaciones-4-banos-2-garajes/687-M5435927
"Apartamento en Arriendo, Poblado, Medellín",El Poblado,4.900.000,112.0,3,2,2,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-poblado-3-habitaciones-2-banos-2-garajes/11167-M5693854
"Apartamento en Arriendo, Vizcaya, Medellín",Vizcaya | Medellín,13.000.000,185.0,4,3,0,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-vizcaya-4-habitaciones-3-banos/2214-M5752144
"Apartamento en Arriendo, El Campestre, Medellín",El Campestre,6.300.000,176.0,2,2,0,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-san-lucas-2-habitaciones-2-banos/2214-M6069275
"Apartamento en Arriendo, San Lucas, Medellín",San Lucas,6.500.000,157.0,3,5,1,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-san-lucas-3-habitaciones-5-banos-1-garajes/11167-M5689268
"Casa en Arriendo, La Aguacatala, Medellín",La Aguacatala | Medellín,14.000.000,400.0,5,5,0,https://www.metrocuadrado.com/inmueble/arriendo-casa-medellin-la-aguacatala-5-habitaciones-5-banos/2214-M5990944
"Apartamento en Arriendo, La Castellana, Medellín",La Castellana,4.600.000,137.0,3,3,2,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-la-castellana-3-habitaciones-3-banos-2-garajes/12133-M6059412
"Edificio de Apartamentos en Arriendo, Prado Centro, Medellín",Prado,88.633.000,425.0,0,0,4,https://www.metrocuadrado.com/inmueble/arriendo-edificio-de-apartamentos-medellin-prado-centro-4-garajes/18597-M6041318
"Apartamento en Arriendo, El Poblado, Medellín",El Poblado,3.400.000,75.0,2,2,1,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-simesa-2-habitaciones-2-banos-1-garajes/14059-M5686397
"Apartamento en Arriendo, Altos Del Poblado, Medellín",El Poblado,15.000.000,315.0,3,4,3,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-altos-del-poblado-3-habitaciones-4-banos-3-garajes/16120-M5702008
"Apartamento en Arriendo, LOS BALSOS, Medellín",Los Balsos,5.200.000,85.0,3,2,1,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-el-castillo-3-habitaciones-2-banos-1-garajes/233-M4579965
"Oficina en Arriendo, Laureles, Medellín",Laureles | Medellín,5.800.000,270.0,0,5,2,https://www.metrocuadrado.com/inmueble/arriendo-oficina-medellin-laureles-5-banos-2-garajes/18597-M6041508
"Apartamento en Arriendo, Calasanz, Medellín",Calasanz | Medellín,3.500.000,86.0,2,2,1,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-calasanz-2-habitaciones-2-banos-1-garajes/18597-M6041611
"Apartamento en Venta y Arriendo, EL POBLADO, Medellín",El Poblado,620.000.000,138.0,3,3,2,https://www.metrocuadrado.com/inmueble/venta-apartamento-medellin-el-tesoro-3-habitaciones-3-banos-2-garajes/687-M2023894
"Casa en Arriendo, BELEN, Medellín",Belén,4.400.000,120.0,4,3,2,https://www.metrocuadrado.com/inmueble/arriendo-casa-medellin-la-mota-4-habitaciones-3-banos-2-garajes/12116-M4891725
"Apartamento en Arriendo, EL POBLADO, Medellín",El Poblado,8.900.000,100.0,2,3,2,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-la-linde-2-habitaciones-3-banos-2-garajes/687-M4865803
"Apartamento en Arriendo, Envigado, Medellín",Envigadoe | Medellín,10.500.000,145.0,2,3,1,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-la-avanzada-2-habitaciones-3-banos-1-garajes/18975-M5824947
"Apartamento en Arriendo, LAURELES, Medellín",Laureles,3.500.000,87.0,3,2,1,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-los-colores-3-habitaciones-2-banos-1-garajes/12116-M5204462
"Apartamento en Arriendo, EL POBLADO, Medellín",El Poblado,4.300.000,90.0,2,2,2,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-simesa-2-habitaciones-2-banos-2-garajes/687-M5197187
"Local Comercial en Arriendo, Candelaria, Medellín",Candelaria | Medellín,14.000.000,100.0,0,1,0,https://www.metrocuadrado.com/inmueble/arriendo-local-comercial-medellin-candelaria-1-banos/20769-M6014872
"Apartamento en Arriendo, EL POBLADO, Medellín",El Poblado,8.300.000,160.0,3,3,0,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-alejandria-3-habitaciones-3-banos/687-M5502279
"Apartamento en Arriendo, EL POBLADO, Medellín",El Poblado,4.850.000,137.0,3,3,1,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-castropol-3-habitaciones-3-banos-1-garajes/687-M5813255
"Bodega en Arriendo, LA CANDELARIA, Medellín",La Candelaria,27.900.000,500.0,0,0,0,https://www.metrocuadrado.com/inmueble/arriendo-bodega-medellin-el-chagualo/687-M5603152
"Apartamento en Arriendo, Poblado, Medellín",El Poblado,7.000.000,96.0,3,2,1,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-castropol-3-habitaciones-2-banos-1-garajes/20543-M5965450
"Apartamento en Arriendo, LAURELES, Medellín",Laureles,3.000.000,70.0,3,2,1,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-los-colores-3-habitaciones-2-banos-1-garajes/12116-M5204586
"Apartamento en Arriendo, EL POBLADO, Medellín",El Poblado,3.650.000,84.0,3,2,1,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-santa-maria-de-los-angeles-3-habitaciones-2-banos-1-garajes/687-M5072240
"Apartamento en Arriendo, EL POBLADO, Medellín",El Poblado,6.700.000,108.0,2,3,2,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-altos-del-poblado-2-habitaciones-3-banos-2-garajes/687-M5560019
"Oficina en Arriendo, EL POBLADO, Medellín",El Poblado,4.200.000,48.0,0,1,1,https://www.metrocuadrado.com/inmueble/arriendo-oficina-medellin-patio-bonito-1-banos-1-garajes/687-M5133558
"Casa en Arriendo, BELEN, Medellín",Belén,6.000.000,240.0,4,4,2,https://www.metrocuadrado.com/inmueble/arriendo-casa-medellin-la-palma-4-habitaciones-4-banos-2-garajes/12116-M4628799
"Apartamento en Arriendo, EL POBLADO, Medellín",El Poblado,6.600.000,128.0,3,4,2,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-la-florida-3-habitaciones-4-banos-2-garajes/687-M5711543
"Apartamento en Arriendo, LAURELES, Medellín",Laureles,5.800.000,140.0,4,3,2,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-laureles-4-habitaciones-3-banos-2-garajes/12116-M5605767
"Apartamento en Arriendo, EL POBLADO, Medellín",El Poblado,7.700.000,153.0,2,2,2,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-los-naranjos-2-habitaciones-2-banos-2-garajes/687-M4991260
"Casa en Arriendo, EL POBLADO, Medellín",El Poblado,33.000.000,500.0,4,3,4,https://www.metrocuadrado.com/inmueble/arriendo-casa-medellin-el-poblado-4-habitaciones-3-banos-4-garajes/687-M3602094
"Apartamento en Arriendo, LAURELES, Medellín",Laureles,2.700.000,72.0,2,2,1,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-los-conquistadores-2-habitaciones-2-banos-1-garajes/12116-M5767903
"Oficina en Arriendo, LA CANDELARIA, Medellín",La Candelaria,26.000.000,566.0,0,2,0,https://www.metrocuadrado.com/inmueble/arriendo-oficina-medellin-la-candelaria-2-banos/687-M4535253
"Apartamento en Arriendo, EL POBLADO, Medellín",El Poblado,3.900.000,87.0,3,3,1,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-san-diego-3-habitaciones-3-banos-1-garajes/687-M5940117
"Casa en Venta y Arriendo, EL POBLADO, Medellín",El Poblado,990.000.000,279.0,3,4,3,https://www.metrocuadrado.com/inmueble/venta-casa-medellin-el-tesoro-3-habitaciones-4-banos-3-garajes/687-M2313917
"Apartamento en Arriendo, EL POBLADO, Medellín",El Poblado,6.700.000,203.0,3,2,1,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-las-lomas-no.2-3-habitaciones-2-banos-1-garajes/687-M5767444
"Apartamento en Arriendo, EL POBLADO, Medellín",El Poblado,4.500.000,88.0,1,2,2,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-los-balsos-no.1-1-habitaciones-2-banos-2-garajes/687-M4548223
"Apartamento en Arriendo, EL POBLADO, Medellín",El Poblado,7.750.000,125.0,3,2,1,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-la-florida-3-habitaciones-2-banos-1-garajes/687-M5712512
"Oficina en Arriendo, EL POBLADO, Medellín",El Poblado,3.400.000,44.0,0,1,1,https://www.metrocuadrado.com/inmueble/arriendo-oficina-medellin-altos-del-poblado-1-banos-1-garajes/687-M5288593
"Apartamento en Venta y Arriendo, EL POBLADO, Medellín",El Poblado,425.000.000,79.0,3,2,1,https://www.metrocuadrado.com/inmueble/venta-apartamento-medellin-simesa-3-habitaciones-2-banos-1-garajes/687-M2164865
"Apartamento en Arriendo, EL POBLADO, Medellín",El Poblado,8.300.000,240.0,4,4,2,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-la-florida-4-habitaciones-4-banos-2-garajes/687-M4729731
"Apartaestudio en Arriendo, LAURELES, Medellín",Laureles,4.100.000,35.0,1,1,0,https://www.metrocuadrado.com/inmueble/arriendo-apartaestudio-medellin-laureles-1-habitaciones-1-banos/12116-M4870212
"Apartamento en Arriendo, EL POBLADO, Medellín",El Poblado,3.250.000,47.0,1,2,1,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-simesa-1-habitaciones-2-banos-1-garajes/687-M5463297
"Oficina en Arriendo, LA CANDELARIA, Medellín",La Candelaria,28.000.000,770.0,0,5,0,https://www.metrocuadrado.com/inmueble/arriendo-oficina-medellin-perpetuo-socorro-5-banos/687-M4182438
"Oficina en Arriendo, EL POBLADO, Medellín",El Poblado,10.600.000,131.0,0,2,3,https://www.metrocuadrado.com/inmueble/arriendo-oficina-medellin-simesa-2-banos-3-garajes/687-M4653216
"Casa en Arriendo, EL POBLADO, Medellín",El Poblado,24.800.000,500.0,4,3,4,https://www.metrocuadrado.com/inmueble/arriendo-casa-medellin-asomadera-no.2-4-habitaciones-3-banos-4-garajes/687-M3602051
"Casa en Arriendo, LA AMERICA, Medellín",La América,3.800.000,170.0,5,2,1,https://www.metrocuadrado.com/inmueble/arriendo-casa-medellin-los-pinos-5-habitaciones-2-banos-1-garajes/20692-M6067431
"Apartamento en Arriendo, EL POBLADO, Medellín",El Poblado,11.200.000,170.0,3,4,2,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-san-lucas-3-habitaciones-4-banos-2-garajes/687-M6043844
"Apartamento en Arriendo, EL POBLADO, Medellín",El Poblado,3.300.000,70.0,3,2,1,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-la-florida-3-habitaciones-2-banos-1-garajes/687-M4687534
"Casa en Arriendo, Laureles, Medellín",Laureles,4.000.000,160.0,3,2,0,https://www.metrocuadrado.com/inmueble/arriendo-casa-medellin-las-acacias-3-habitaciones-2-banos/2214-M6069289
"Apartamento en Arriendo, Patio Bonito, Medellín",Patio Bonito,3.400.000,95.0,3,2,1,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-patio-bonito-3-habitaciones-2-banos-1-garajes/12133-M6069472
"Apartamento en Arriendo, Loma De Los Bernal, Medellín",Loma De Los Bernal,2.300.000,60.0,3,2,0,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-altavista-3-habitaciones-2-banos/2214-M6069285
"Local Comercial en Arriendo, El Poblado, Medellín",El Poblado,32.097.000,230.0,0,0,2,https://www.metrocuadrado.com/inmueble/arriendo-local-comercial-medellin-el-poblado-2-garajes/17017-M6005128
"Apartamento en Arriendo, Los Balsos, Medellín",Los Balsos,5.200.000,118.0,2,2,0,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-los-balsos-2-habitaciones-2-banos/2214-M5852842
"Apartamento en Arriendo, Alejandria, Medellín",Alejandría,5.000.000,148.0,3,4,0,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-alejandria-3-habitaciones-4-banos/2214-M6069329
"Casa en Arriendo, Santa Monica, Medellín",Santa Mónica,2.900.000,110.0,3,2,0,https://www.metrocuadrado.com/inmueble/arriendo-casa-medellin-santa-monica-3-habitaciones-2-banos/14059-M5648276
"Apartaestudio en Arriendo, La Loma Del Indio, Medellín",Loma Del Indio,4.000.000,61.0,1,1,0,https://www.metrocuadrado.com/inmueble/arriendo-apartaestudio-medellin-la-loma-del-indio-1-habitaciones-1-banos/16120-M6003669
"Oficina en Arriendo, Los Colores, Medellín",Los Colores,5.500.000,200.0,0,2,2,https://www.metrocuadrado.com/inmueble/arriendo-oficina-medellin-los-colores-2-banos-2-garajes/18597-M6041156
"Oficina en Arriendo, EL POBLADO, Medellín",El Poblado,2.576.667,60.0,0,3,0,https://www.metrocuadrado.com/inmueble/arriendo-oficina-medellin-patio-bonito-3-banos/532-M5522492
"Apartamento en Arriendo, Belen, Medellín",Belén,3.500.000,95.0,3,2,1,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-belen-3-habitaciones-2-banos-1-garajes/14059-M5950550
"Oficina en Arriendo, Milla De Oro, Medellín",Illa De Oro | Medellín,25.000.000,255.0,0,3,4,https://www.metrocuadrado.com/inmueble/arriendo-oficina-medellin-milla-de-oro-3-banos-4-garajes/16120-M5939949
"Oficina en Arriendo, EL POBLADO, Medellín",El Poblado,8.800.000,100.0,0,1,2,https://www.metrocuadrado.com/inmueble/arriendo-oficina-medellin-manila-1-banos-2-garajes/687-M5240047
"Apartamento en Arriendo, LAURELES, Medellín",Laureles,3.700.000,120.0,3,2,2,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-la-castellana-3-habitaciones-2-banos-2-garajes/12116-M5601726
"Apartamento en Arriendo, LAURELES, Medellín",Laureles,3.650.000,85.0,3,2,1,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-las-acacias-3-habitaciones-2-banos-1-garajes/12116-M5997985
"Apartamento en Arriendo, EL POBLADO, Medellín",El Poblado,10.500.000,200.0,3,4,2,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-los-balsos-no.1-3-habitaciones-4-banos-2-garajes/687-M5197076
"Apartamento en Arriendo, CONQUISTADORES, Medellín",Conquistadorese | Medellín,2.800.000,67.0,2,2,1,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-laureles-2-habitaciones-2-banos-1-garajes/12116-M5271320
"Apartamento en Arriendo, EL POBLADO, Medellín",El Poblado,5.000.000,67.0,1,2,1,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-los-balsos-no2-1-habitaciones-2-banos-1-garajes/687-M6005032
"Apartamento en Arriendo, EL POBLADO, Medellín",El Poblado,4.700.000,67.0,1,2,1,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-los-balsos-no2-1-habitaciones-2-banos-1-garajes/687-M6005167
"Apartamento en Arriendo, EL POBLADO, Medellín",El Poblado,5.200.000,90.0,3,2,2,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-castropol-3-habitaciones-2-banos-2-garajes/687-M5775465
