titulo,ubicacion,precio,area_m2,habitaciones,banos,parqueaderos,url
"Casa en Arriendo, EL POBLADO, Medellín",El Poblado,26.000.000,450.0,4,5,4,https://www.metrocuadrado.com/inmueble/arriendo-casa-medellin-los-balsos-no.1-4-habitaciones-5-banos-4-garajes/687-M5682071
"Casa en Arriendo, EL POBLADO, Medellín",El Poblado,10.500.000,271.0,3,4,2,https://www.metrocuadrado.com/inmueble/arriendo-casa-medellin-san-lucas-3-habitaciones-4-banos-2-garajes/687-M5469121
"Apartamento en Arriendo, EL POBLADO, Medellín",El Poblado,7.300.000,106.0,2,2,2,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-los-balsos-no.1-2-habitaciones-2-banos-2-garajes/687-M5467918
"Apartamento en Arriendo, Poblado, Medellín",El Poblado,9.000.000,120.0,3,3,1,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-los-balsos-no.1-3-habitaciones-3-banos-1-garajes/20543-M5997125
"Apartamento en Arriendo, EL POBLADO, Medellín",El Poblado,10.000.000,174.0,3,4,3,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-santa-maria-de-los-angeles-3-habitaciones-4-banos-3-garajes/687-M5965904
"Apartamento en Arriendo, EL POBLADO, Medellín",El Poblado,7.000.000,118.0,2,3,2,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-el-tesoro-2-habitaciones-3-banos-2-garajes/687-M4654610
"Apartamento en Arriendo, Calasanz, Medellín",Calasanz | Medellín,2.800.000,54.0,2,2,1,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-calasanz-2-habitaciones-2-banos-1-garajes/19795-M5691390
"Casa en Arriendo, EL POBLADO, Medellín",El Poblado,19.000.000,648.0,4,5,4,https://www.metrocuadrado.com/inmueble/arriendo-casa-medellin-el-tesoro-4-habitaciones-5-banos-4-garajes/687-M4293885
"Casa en Arriendo, Palmas, Medellín",Palmas | Medellín,45.000.000,360.0,4,5,4,https://www.metrocuadrado.com/inmueble/arriendo-casa-medellin-palmas-4-habitaciones-5-banos-4-garajes/20765-M6017242
"Apartamento en Arriendo, El Poblado, Medellín",El Poblado,18.000.000,260.0,3,4,2,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-el-poblado-3-habitaciones-4-banos-2-garajes/20765-M6015781
"Apartamento en Arriendo, El Poblado, Medellín",El Poblado,22.000.000,260.0,3,4,2,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-el-poblado-3-habitaciones-4-banos-2-garajes/20765-M6015789
"Apartamento en Arriendo, EL POBLADO, Medellín",El Poblado,9.700.000,214.0,3,4,3,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-los-balsos-no.1-3-habitaciones-4-banos-3-garajes/687-M4654582
"Apartamento en Arriendo, Lalinde, Medellín",Lalinde,9.500.000,121.0,2,3,1,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-lalinde-2-habitaciones-3-banos-1-garajes/20772-M6015479
"Oficina en Arriendo, Laureles, Medellín",Laureles | Medellín,2.250.000,33.0,0,1,1,https://www.metrocuadrado.com/inmueble/arriendo-oficina-medellin-laureles-1-banos-1-garajes/17698-M6062937
"Oficina en Arriendo, Laureles, Medellín",Laureles,3.100.000,60.0,0,1,1,https://www.metrocuadrado.com/inmueble/arriendo-oficina-medellin-lorena-1-banos-1-garajes/17698-M5825094
"Local Comercial en Arriendo, Guayabal, Medellín",Guayabal,16.357.000,200.0,0,2,3,https://www.metrocuadrado.com/inmueble/arriendo-local-comercial-medellin-shellmar-2-banos-3-garajes/17698-M5817859
"Apartamento en Arriendo, Medellin, Medellín",In | Medellín,5.250.000,128.0,3,4,2,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-medellin-3-habitaciones-4-banos-2-garajes/11813-M5777511
"Oficina en Arriendo, Guayabal, Medellín",Guayabal,93.798.600,359.0,0,5,4,https://www.metrocuadrado.com/inmueble/arriendo-oficina-medellin-shellmar-5-banos-4-garajes/17698-M5774426
