titulo,ubicacion,precio,caracteristicas,area_m2,habitaciones,banos,parqueaderos,url,codigo,pagina,numero_en_pagina
"Apartamento en Arriendo, EL POBLADO, Medellín",EL POBLADO | Suroriente | Medellín,$2.750.000,"48 m²
1 hab.
1 bañ.
1 par.",48,1,1,1,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-la-aguacatala-1-habitaciones-1-banos-1-garajes/687-M5727817,687-M5727817,41,34
"Apartamento en Arriendo, EL POBLADO, Medellín",EL POBLADO | Nororiente | Medellín,$2.550.000,"68 m²
2 hab.
2 bañ.
1 par.",68,2,2,1,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-asomadera-no2-2-habitaciones-2-banos-1-garajes/687-M6064763,687-M6064763,41,35
"Apartamento en Arriendo, EL POBLADO, Medellín",EL POBLADO | Suroriente | Medellín,$5.700.000,"70 m²
2 hab.
2 bañ.
1 par.",70,2,2,1,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-los-balsos-no.1-2-habitaciones-2-banos-1-garajes/687-M4803723,687-M4803723,41,36
"Casa en Arriendo, BELEN, Medellín",BELEN | Suroccidente | Medellín,$5.500.000,"330 m²
5 hab.
5 bañ.
2 par.",330,5,5,2,https://www.metrocuadrado.com/inmueble/arriendo-casa-medellin-la-mota-5-habitaciones-5-banos-2-garajes/12116-M5560280,12116-M5560280,41,37
"Apartamento en Arriendo, La Frontera, Medellín",La Frontera | Medellín,$4.200.000,"103 m²
4 hab.
2 bañ.
1 par.",103,4,2,1,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-na-4-habitaciones-2-banos-1-garajes/20033-M5996341,20033-M5996341,41,38
"Apartamento en Arriendo, EL POBLADO, Medellín",EL POBLADO | Suroriente | Medellín,$10.500.000,"120 m²
3 hab.
4 bañ.
2 par.",120,3,4,2,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-los-balsos-no.1-3-habitaciones-4-banos-2-garajes/687-M4860118,687-M4860118,41,39
"Oficina en Arriendo, EL POBLADO, Medellín",EL POBLADO | Suroriente | Medellín,$4.100.000,"50 m²
1 bañ.
2 par.",50,,1,2,https://www.metrocuadrado.com/inmueble/arriendo-oficina-medellin-simesa-1-banos-2-garajes/687-M4412630,687-M4412630,41,40
"Apartamento en Arriendo, EL POBLADO, Medellín",EL POBLADO | Suroriente | Medellín,$4.200.000,"111 m²
3 hab.
2 bañ.
1 par.",111,3,2,1,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-el-poblado-3-habitaciones-2-banos-1-garajes/687-M4694160,687-M4694160,41,41
"Apartamento en Arriendo, Los Gonzalez, Medellín",Los Gonzalez | Medellín,$6.500.000,"143 m²
3 hab.
2 bañ.",143,3,2,,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-los-gonzalez-3-habitaciones-2-banos/2214-M5823569,2214-M5823569,41,42
"Apartamento en Arriendo, Las Palmas M, Medellín",Las Palmas M | Medellín,$7.500.000,"104 m²
2 hab.
3 bañ.",104,2,3,,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-las-palmas-m-2-habitaciones-3-banos/2214-M5979960,2214-M5979960,41,43
"Apartamento en Arriendo, Lalinde, Medellín",Lalinde | Suroriente | Medellín,$8.500.000,"130 m²
3 hab.
3 bañ.",130,3,3,,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-las-lomas-no.1-3-habitaciones-3-banos/2214-M6069691,2214-M6069691,41,44
"Apartamento en Arriendo, Provenza, Medellín",Provenza | Medellín,$6.200.000,"150 m²
3 hab.
4 bañ.",150,3,4,,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-provenza-3-habitaciones-4-banos/2214-M5943740,2214-M5943740,41,45
"Apartamento en Arriendo, Altos Del Poblado, Medellín",Altos Del Poblado | Medellín,$3.500.000,"64 m²
3 hab.
2 bañ.",64,3,2,,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-altos-del-poblado-3-habitaciones-2-banos/2214-M5971129,2214-M5971129,41,46
"Apartamento en Arriendo, La Cola Del Zorro, Medellín",La Cola Del Zorro | Medellín,$6.600.000,"90 m²
2 hab.
2 bañ.",90,2,2,,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-la-cola-del-zorro-2-habitaciones-2-banos/2214-M5792423,2214-M5792423,41,47
